SiO2,TiO2,Al2O3,FeO,Fe2O3,MgO,CaO,Na2O,K2O,P2O5,MnO,Cr2O3,NiO,H2O,F,T,N,P,x,lnP
56.015114912015385,0.5774662290378724,13.421457107063642,6.208964511663337,0.7667575653207112,13.078387427704335,5.7204381256789585,2.4994806928504936,1.499688415710295,0,0,0.16021863857906554,0.05202637437589345,0.8577373786324469,1.062578125,1507.0291408736077,1.0000000000000002,1,0,631.3566137060681
56.00982560530328,0.5773610706870347,13.419947540596851,6.210220001064207,0.7669126082420372,13.081392537108297,5.719791771854412,2.499025529839407,1.4994153179036447,0,0,0.16422629130344682,0.051881726097396476,0.8574292772726712,1.063515625,1507.3643880123614,1,1,0,632.6611913472768
56.01594993729051,0.5795078774322608,13.461235822538747,6.217269902786242,0.7677832148415729,12.997008657324116,5.73833894254237,2.508317678438127,1.5049906070628807,0,0,0.15860317917397693,0.050994180569216487,0.8607444281397248,1.059453125,1507.2980199893416,0.9999999999999999,1,0,633.3076589118075
56.07223832828561,0.5786033710256014,13.456222791490216,6.205445574656344,0.7663230046839205,12.972624296536067,5.734713089135293,2.5044026507078265,1.5026415904246941,0,0,0.15656488046123934,0.050220422593186785,0.8595631588207289,1.0601171875,1507.1067062132297,1.0000000000000002,1,0,632.3216025533693
56.24965405816782,0.592585810526398,13.746236083195928,6.225136213107936,0.7687546413876561,12.277381352586525,5.861958774161342,2.564923657502307,1.5389541945013936,0,0,0.131058646171507,0.04335656869118722,0.8810989989474287,1.035859375,1507.3292195107726,0.9999999999999999,1,0,634.1508306511556
56.09648714147387,0.581521937900723,13.514047709470766,6.2126990289320565,0.767218748399344,12.841406037800033,5.760366493286551,2.5170352536001372,1.510221152160079,0,0,0.15007908028489028,0.04891741669154631,0.864044170879969,1.055390625,1507.2764286550737,0.9999999999999996,1,0,630.8108842432327
56.14361674297511,0.5808772166002383,13.51031251783101,6.202630033065268,0.7659753077674093,12.820301276103843,5.757615936169751,2.5142446688666906,1.5085468013200125,0,0,0.14746637773182691,0.04841312156883785,0.8632575485534764,1.056015625,1507.123145026245,1,1,0,634.1566817021509
56.13345450477183,0.5877740358667846,13.63225038099108,6.228650832152171,0.7691886687905065,12.57874629011844,5.8132124935859615,2.544096573154743,1.526457943892838,0,0,0.13955364384655333,0.046614632829106495,0.8735541470992245,1.0459375,1507.780994790462,1,1,0,630.5008581158166
56.29449783378412,0.6001468500245657,13.889049398161399,6.241023336183456,0.770716574297154,11.960741573088571,5.9258045753272715,2.5976505448824656,1.5585903269294834,0,0,0.12086182851892095,0.04091715880259196,0.8925755581846249,1.024453125,1507.8785958495314,0.9999999999999999,1,0,629.9443522675726
56.230934051117266,0.5965444663787077,13.814590514323474,6.23952429709889,0.7705314549335881,12.155273967956187,5.893423214365168,2.582058138057093,1.5492348828342537,0,0,0.12528420892062853,0.04260080401475581,0.8870635995342161,1.03078125,1507.8450873639201,0.9999999999999999,1,0,630.0745566852045
56.20409677966553,0.6022485429059703,13.904392842973934,6.265699632430588,0.7737638999496106,11.98182284084273,5.93514410041393,2.60674742451837,1.5640484547110218,0,0,0.12030526328190574,0.04173021830640402,0.8955303403716737,1.0232421875,1508.7261860985018,0.9999999999999999,1,0,630.669333817986
56.11607412629864,0.5991940848333744,13.829959539588998,6.272368536252992,0.774587456349171,12.187667520188572,5.903582346190721,2.5935266358459463,1.5561159815075614,0,0,0.1230585713313837,0.04386520161265825,0.8908575343670789,1.0296875,1509.0650767046855,0.9999999999999999,1,0,628.4182052448062
56.13805074340284,0.5932568657242154,13.727778872314289,6.247472473748354,0.7715129913178005,12.38153007116631,5.856655736137208,2.5678282247764637,1.5406969348658737,0,0,0.1300325249019895,0.04518456164464568,0.881932972003802,1.0379296875,1508.3101757000795,0.9999999999999999,1,0,630.062828074767
56.11960298735574,0.5919558676146568,13.70150266582995,6.247003860283246,0.7714551212947222,12.446667650610554,5.84514006405135,2.5621970389290984,1.5373182233574707,0,0,0.13143524422296332,0.04572127645024193,0.8799517852131096,1.041328125,1507.0538607870424,1,1,0,634.3997682515693
56.307403530590584,0.6053127167103654,13.98503060290496,6.25458163210882,0.7723909156392734,11.765069934637093,5.9690812008153324,2.6200102663583,1.5720061598149826,0,0,0.1096863723817245,0.039426668038557613,0.9006791668410716,1.018125,1507.070893454108,0.9999999999999999,1,0,634.6542461645863
56.30558691293325,0.6052601675156736,13.983226257326468,6.254827580724198,0.7724212883304309,11.76644586909352,5.968306539150775,2.6197828146200552,1.5718696887720356,0,0,0.11275517488183837,0.03951770665176817,0.9004216697016082,1.018515625,1507.1714154475476,0.9999999999999999,1,0,634.5232778946208
56.73972846506897,0.5963556910611132,13.896666661161339,6.146328517605864,0.7590225199335563,11.654522057498516,5.919041702807757,2.58124105086153,1.548744630516919,0,0,0.12074673329600252,0.03760197018844215,0.8874854815549081,1.0216015625,1503.9219839565767,1,1,0,556.5658159745458
56.78677339056524,0.5973842143690231,13.925608595033681,6.140188469070741,0.7582642729413406,11.56541381047154,5.930978045967513,2.585692868164443,1.5514157208986619,0,0,0.12150090843109894,0.03677970408673191,0.8890010804359165,1.023203125,1501.427260775336,0.9999999999999999,1,0,553.7353001568841
56.26895105714153,0.6067644334147932,13.99669379990161,6.269181259111316,0.7741938530588698,11.7535582173304,5.975557193920538,2.626293816272983,1.5757762897637946,0,0,0.11324489770078357,0.03978518238338683,0.902517891819583,1.0171484375,1507.6576526490655,1.0000000000000002,1,0,631.5418799791366
