,parameter,mean,stdev,median,mode,max_P
0,MgN_beforeCrystallization0,91.97873056902793,1.2714293778450916,92.12743101472286,91.9375,92.52976259963941
1,growth_stoichiometry_orthopyroxene0,0.46069294514847703,0.2715282423557285,0.4532302130361699,0.33125000000000004,0.02262850428186523
2,growth_stoichiometry_spinel0,0.04611963229778253,0.030984165660254973,0.04222323049663787,0.000625,0.0246919787367806
3,MgN_beforeMixing0,90.43726976837203,4.008633994765905,91.77812179977212,91.8125,91.67418142668564
4,mixing_stoichiometry_orthopyroxene0,0.43000186368136983,0.2687166683547904,0.41869208592526286,0.018750000000000003,0.3614172046966993
5,mixing_stoichiometry_spinel0,0.0449098306161235,0.024216890970115763,0.0404475245099918,0.030625,0.08055220857813952
6,log10_tau0,7.990785624544721,0.05701606295919277,8.003953510572686,8.25,8.027884135697086
7,MgN_beforeCrystallization1,91.09624484144504,0.3934261799741304,91.05284684228891,90.9375,91.23320515917452
8,growth_stoichiometry_orthopyroxene1,0.5199034111574851,0.28684516674318045,0.5340411840784436,0.9187500000000001,0.9802703241572344
9,growth_stoichiometry_spinel1,0.03750915556036388,0.021911833679947527,0.03550215270144084,0.066875,0.005733851940889206
10,MgN_beforeMixing1,87.8974569710399,2.0415768805794348,88.61130304756605,89.1875,88.5564266802627
11,mixing_stoichiometry_orthopyroxene1,0.5542482335977093,0.3131767067896898,0.623767629170869,0.86875,0.946717330365456
12,mixing_stoichiometry_spinel1,0.04729722998550553,0.027270505336251166,0.04863571377298223,0.015625,0.02144625251484307
13,log10_tau1,4.251584236201037,2.313023605754384,4.457421148198904,7.25,6.5537524853731135
14,MgN_beforeCrystallization2,91.07921744570612,0.5680099413604374,90.97571900361328,90.8125,91.15049865820477
15,growth_stoichiometry_orthopyroxene2,0.5551344107914428,0.26534135104578516,0.5736990485476797,0.90625,0.590425117625581
16,growth_stoichiometry_spinel2,0.04377603018800187,0.023002394372010165,0.03749993813288386,0.030625,0.021942756681057208
17,MgN_beforeMixing2,88.98237720186283,1.0210283655959866,88.93753207533213,89.0625,88.12626598128698
18,mixing_stoichiometry_orthopyroxene2,0.5061852315164623,0.29236546426203697,0.5077902311302201,0.89375,0.8029198135045845
19,mixing_stoichiometry_spinel2,0.037776066206494534,0.02605597912908929,0.03190633988641988,0.099375,0.0070539842708211955
20,log10_tau2,4.3207858963048995,2.500948313709022,4.300753507174604,8.25,0.09636805104853964
21,MgN_beforeCrystallization3,90.93144649415723,0.5045140081924182,90.77879383921801,90.6875,90.72411406897787
22,growth_stoichiometry_orthopyroxene3,0.4464685468757422,0.2903291693044859,0.4250242161979159,0.18125000000000002,0.3478501698822005
23,growth_stoichiometry_spinel3,0.04994575899072701,0.025815942389233685,0.052727993487140204,0.058125,0.05199921068616002
24,MgN_beforeMixing3,89.86237780514867,0.46480418373802435,90.00118528090303,90.0625,90.11623017726015
25,mixing_stoichiometry_orthopyroxene3,0.3273371650806946,0.2304107275186404,0.2757834067258876,0.19375,0.5288305104700022
26,mixing_stoichiometry_spinel3,0.04445808983257774,0.010344348761479513,0.04604934743865819,0.048125,0.0415370862473773
27,log10_tau3,3.606405947550702,2.0904174843835674,3.5902372755509644,2.75,0.834623315484444
28,MgN_beforeCrystallization4,91.7653488994231,0.24640002162249836,91.6933926237268,91.6875,91.59791450407528
29,growth_stoichiometry_orthopyroxene4,0.43955381412792993,0.26822107104300047,0.4253841582629001,0.45625000000000004,0.3450986863031513
30,growth_stoichiometry_spinel4,0.034525425863686496,0.026699588281929896,0.029603917481194467,0.000625,0.004106788446187665
31,MgN_beforeMixing4,91.50520166489926,0.14882353461308512,91.52756095371336,91.5625,91.33562350416942
32,mixing_stoichiometry_orthopyroxene4,0.3853461961562314,0.2692721881892147,0.34274414118273133,0.018750000000000003,0.1631777441240338
33,mixing_stoichiometry_spinel4,0.03399245750987173,0.026135089882843868,0.027190725344670263,0.006875,0.00024458772158564973
34,log10_tau4,4.533770796018943,2.662132381992261,4.510528483828414,8.75,0.4164743263943622
35,MgN_beforeCrystallization5,91.940421454249,0.3079503068385566,91.88499211642271,91.6875,92.60356774440136
36,growth_stoichiometry_orthopyroxene5,0.36600895401071837,0.24736462215116645,0.32101059699822915,0.21875,0.4988492927481216
37,growth_stoichiometry_spinel5,0.022137648920107875,0.017593921707309914,0.01973327909160292,0.001875,0.0002637276979587095
38,MgN_beforeMixing5,90.13935997592274,0.4394733976481532,90.19669092239523,90.3125,89.34612032891542
39,mixing_stoichiometry_orthopyroxene5,0.7099770839703989,0.2549396112656003,0.8491815116780509,0.93125,0.7151745824892638
40,mixing_stoichiometry_spinel5,0.059679958071523036,0.017042518459331763,0.050699924941799486,0.049375,0.07442553882032063
41,log10_tau5,4.933646572944839,2.854734686818916,4.965968152264331,9.75,7.130549585867383
42,MgN_beforeCrystallization6,85.22121089361438,0.1440773509860347,85.21796390923862,85.1875,85.15894883700358
43,growth_stoichiometry_orthopyroxene6,0.4626133576601626,0.2754397744230458,0.4616836252873182,0.00625,0.20743953298856627
44,growth_stoichiometry_spinel6,0.047780953722518456,0.02808597402280586,0.047427013930111714,0.058125,0.04137793773839493
45,MgN_beforeMixing6,85.10898263670954,0.15790598030045414,85.09695009169734,85.0625,85.05518057241224
46,mixing_stoichiometry_orthopyroxene6,0.2503018241049545,0.1555798549298312,0.21254533628276512,0.16875,0.17005533989168314
47,mixing_stoichiometry_spinel6,0.037754771942430626,0.0029649723851163934,0.03854202412491976,0.039375,0.03419797017599621
