No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Cr2O3,NiO,Total,Fe_Mg,Mg#,phase,position,x
308,52.486,0.202,5.007,8.946,0.188,29.763,1.328,0.09,0.068,98.078,0.168696623,85.5654051,opx,220,0.000144
309,52.754,0.214,4.838,8.57,0.171,30.083,1.333,0.111,0.064,98.138,0.159887267,86.21527529,opx,221,0.000146
310,53.626,0.167,3.526,7.964,0.186,30.722,1.398,0.16,0.066,97.815,0.145490946,87.29881313,opx,222,0.000148
311,54.121,0.165,3.222,7.504,0.178,31.198,1.306,0.164,0.06,97.918,0.134995805,88.10605255,opx,223,0.00015
312,54.073,0.167,3.109,7.462,0.17,31.378,1.388,0.179,0.07,97.996,0.133470161,88.2246427,opx,224,0.000152
313,54.063,0.146,2.922,7.364,0.16,31.578,1.41,0.217,0.065,97.925,0.130883036,88.42647458,opx,225,0.000154
314,54.447,0.129,2.645,7.077,0.171,31.881,1.327,0.306,0.055,98.038,0.124586636,88.92156174,opx,226,0.000156
315,54.503,0.11,2.392,7.088,0.157,31.968,1.337,0.352,0.051,97.958,0.124440699,88.93310255,opx,227,0.000158
316,54.402,0.11,2.279,6.567,0.174,32.305,1.345,0.366,0.056,97.604,0.114091022,89.75927282,opx,228,0.00016
317,54.727,0.113,2.264,6.652,0.153,32.081,1.337,0.369,0.064,97.76,0.116374692,89.57566017,opx,229,0.000162
318,54.662,0.103,2.226,6.49,0.148,32.215,1.307,0.37,0.048,97.569,0.113068274,89.84174859,opx,230,0.000164
319,54.798,0.094,2.158,6.956,0.153,32.36,1.312,0.357,0.063,98.251,0.12064387,89.23441485,opx,231,0.000166
320,54.195,0.152,2.113,8.52,0.19,30.673,1.327,0.337,0.047,97.554,0.155896922,86.5129045,opx,232,0.000168
321,52.06,0.322,1.509,12.3,0.304,28.886,1.458,0.211,0.042,97.092,0.238985694,80.71118213,opx,233,0.00017
